,sentence_id,grela_source,grela_id,author,title,not_before,not_after,lagt_tlg_epithet,lagt_genre,lagt_provenience,noscemus_place,noscemus_genre,noscemus_discipline,title_short,emlap_noscemus_id,place_publication,place_geonames,author_viaf,title_viaf,date_random,token_count,text
10,lagt_tlg1271.tlg012_1426,lagt,lagt_tlg1271.tlg012,Clemens Romanus,Clementina Epitome Altera Nunc Primum Edita,1.0,100.0,['Theologici'],[],christian,,,,,,,,,,58.0,29924,φιλάνθρωπός ἐστιν ὁ καί ἐχθρούς εὐεργετῶν.
11,lagt_tlg2042.tlg005_3222,lagt,lagt_tlg2042.tlg005,Origenes,Commentarii in Evangelium Joannis,208.0,220.0,['Theologici'],[],christian,,,,,,,,,,214.0,178984,"τάχα γὰρ ἐὰν πάντες οἱ ἐχθροὶ ὑποπόδιον γένωνται τῶν Χριστοῦ ποδῶν, καὶ ὁ ἔσχατος ἐχθρὸς θάνατος καταργηθῇ, ἡ τελειοτάτη εἰρήνη ἔσται ὅτε Χριστὸς ἔσται Σαλομών, ὅπερ ἑρμηνεύεται "" εἰρηνικός "", πληρουμένης τῆς προφητείας εἰς αὐτὸν λεγούσης·"
12,lagt_tlg4102.tlgX02_6993,lagt,lagt_tlg4102.tlgX02,Catenae (Novum Testamentum),Commentarius In Apocalypsin,501.0,600.0,[],[],christian,,,,,,,,,,565.0,107263,"τούτων γάρ ὁ κοινός ἐχθρός στρατευόμενος, τό ἑαυτού καταθύμιον ἀνύσει."
13,lagt_tlg2018.tlg005_9805,lagt,lagt_tlg2018.tlg005,Eusebius,Demonstratio Evangelica,312.0,322.0,['Scriptores Ecclesiastici' 'Theologici'],[],christian,,,,,,,,,,313.0,182616,"τούς ἐχθρούς αὐτοῦ ἐνδύσω αἰσχύνην,"
14,lagt_tlg2018.tlg002_5648,lagt,lagt_tlg2018.tlg002,Eusebius of Caesarea,Historia ecclesiastica,280.0,313.0,['Scriptores Ecclesiastici' 'Theologici'],[],christian,,,,,,,,,,293.0,116027,"δεσμά καί βασάνους τάς κατά τοῦ σώματος τάς τε ὑπό σιδήρῳ καί μυχοῖς εἱρκτῆς τιμωρίας, καί ὡς ἐπί πλείσταις ἡμέραις τούς πόδας ὑπό τέσσαρα τοῦ κολαστηρίου ξύλου παραταθείς διαστήματα, πυρός τε ἀπειλάς καί ὅσα ἄλλα πρός τῶν ἐχθρῶν ἐπενεχθέντα καρτερῶς ἤνεγκεν, οἵου τε τά κατ αὐτόν ἔτυχεν τέλους, μηδαμῶς αὐτόν ἀνελεῖν παντί σθένει τοῦ δικαστοῦ φιλονείκως ἐνστάντος"
15,lagt_tlg2057.tlg002_1948,lagt,lagt_tlg2057.tlg002,"Socrates, Scholasticus",Historia Ecclesiastica,443.0,443.0,['Historici/-ae'],[],christian,,,,,,,,,,443.0,120491,"τόν δέ κατήγορον ἅμα τοῖς ἐχθροῖς δικασταῖς εἶναι,"
16,lagt_tlg1271.tlg011_1260,lagt,lagt_tlg1271.tlg011,Clemens Romanus,Clementina Epitome Prior Edita Correctior,1.0,100.0,['Theologici'],[],christian,,,,,,,,,,93.0,28994,"εἰ μέν οὖν ἡ ἐλεήσασα ξενοδόχος αὕτη καί ἀδικήσαντας ἐχθρούς ἐλεοῦσα εὐεργετεῖ, φιλάνθρωπος ἄν εἴη·"
17,lagt_tlg4102.tlg007_1320,lagt,lagt_tlg4102.tlg007,Catenae (Novum Testamentum),Supplementum et varietas lectionis ad catenam in evangelium sancti Joannis (e cod. Bodl. B.),501.0,600.0,[],[],christian,,,,,,,,,,521.0,6188,τῶν ἐχθρῶν.
18,lagt_tlg4090.tlg001_37273,lagt,lagt_tlg4090.tlg001,Cyril of Alexandria,In XII Prophetas,412.0,444.0,['Theologici'],[],christian,,,,,,,,,,425.0,482822,"Φαίη δ᾿ ἄν οἶμαί που τό “μη ἐπίχαιρέ μοι ἡ ἐχθρά μου “ὅτι πέπτωκα,” καί ὅσα τούτοις συνήρμοσται,"
19,lagt_tlg4090.tlg001_60254,lagt,lagt_tlg4090.tlg001,Cyril of Alexandria,In XII Prophetas,412.0,444.0,['Theologici'],[],christian,,,,,,,,,,425.0,482822,". . . . αὐτό . . αὐτῶ . τοαυτό . . πεφρασμένον . . , περιπεφρασμένον . πεφαμένον . . τε . . δαιμονίων . . δαιμόνων . δόγμασιν ἀντεξάγοντας καί ταῖς δι’ αὐτῶν μαχομένους μυσταγωγίαις οὕτω που φησί καί ὁ θεσπέσιος Δαυείδ πρός τόν τῶν ὅλων Σωτῆρα Θεόν “τα βέλη σου ἠκονη- . . . “μένα, δυνατέ· λαοί ὑποκάτω σου πεσοῦνται ἐν καρδίᾳ “τῶν ἐχθρῶν τοῦ βασιλέως.’ πλήττουσι μέν γάρ τούς ἐχθρούς τοῦ Θεοῦ καί Πατρός εἰς καρδίαν ἔσω καί νεφρούς “τά τοῦ δυνατοῦ βέλη,"
20,lagt_tlg2018.tlg005_6186,lagt,lagt_tlg2018.tlg005,Eusebius,Demonstratio Evangelica,312.0,322.0,['Scriptores Ecclesiastici' 'Theologici'],[],christian,,,,,,,,,,313.0,182616,"ἕως ἄν θῶ τούς ἐχθρούς σου ὑποπόδιον τῶν ποδῶν σου, καί κατακυριεύσεις ἐν μέσῳ τῶν ἐχθρῶν σου·"
21,lagt_tlg2040.tlg004_4502,lagt,lagt_tlg2040.tlg004,"Basil, Saint, Bishop of Caesarea",Epistulae,330.0,378.0,['Theologici'],[],christian,,,,,,,,,,371.0,159722,"καί τοῦτο μηδενός εἰδότος, ἀψοφητί διά θαλάσσης ἐπιστῆναι τοῖς ὧδε, ὑπέρ τοῦ φθάσαι τήν αἴσθησιν τῶν ἐχθρῶν τῆς εἰρήνης."
22,lagt_tlg4102.tlgX03_1297,lagt,lagt_tlg4102.tlgX03,Catenae (Novum Testamentum),Commentarius In Apocalypsin,501.0,600.0,[],[],christian,,,,,,,,,,581.0,27419,"πολλοί γάρ τῶν ἐν τῇ γῇ τόν ἐχθρόν νικῶσι καί νικήσουσι, καί περ πλέον νῦν τοῖς ἀγωνιζομένοις θυμούμενον,"
23,lagt_tlg2042.tlg058_5482,lagt,lagt_tlg2042.tlg058,Origen,Selecta in Psalmos [Dub.],208.0,220.0,['Theologici'],[],christian,,,,,,,,,,210.0,129819,"Καταδιώξω τούς ἐχθρούς μου,"
24,lagt_tlg4090.tlg001_39703,lagt,lagt_tlg4090.tlg001,Cyril of Alexandria,In XII Prophetas,412.0,444.0,['Theologici'],[],christian,,,,,,,,,,425.0,482822,"προσθῶσιν προσθήσωσι . . κόλασιν] τήν ἀμήρυτον . μασιν εἰς τήν ἄβυσσον ἀπελθεῖν, καί δούς τοῖς αὐτόν ἀγαπῶσι τῶν ἐχθρῶν κατεξανίστασθαι, καί κατά παθῶν ἀνδρίζεσθαι καί ἁμαρτίας καταθλεῖν καί “ πατεῖν ἐπάνω . . . . “ ὄφεων καί σκορπίων καί ἐπί πᾶσαν τήν δύναμιν τοῦ “ ἐχθροῦ.” Συντετέλεσται, ἐξῇρται·"
25,lagt_tlg0555.tlg006_218,lagt,lagt_tlg0555.tlg006,Clement of Alexandria,τίς ὁ σωζόμενος πλούσιος,203.0,203.0,['Theologici'],[],christian,,,,,,,,,,203.0,10970,"ἀλλ’ οὐ -δ’ ἀναιροῦσιν οὐ -δ’ ἐγγύς, ἀπὸ γὰρ τῆς αὐτῆς γνώμης καὶ διαθέσεως καὶ ἐπὶ τῷ αὐτῷ ὅρῳ πατέρα μισοίη τις ἂν καὶ ἐχθρὸν ἀγαπώῃ ὁ μή -τε ἐχθρὸν ἀμυνόμενος μή -τε πατέρα Χριστοῦ πλέον αἰδούμενος."
26,lagt_tlg2021.tlg002_29469,lagt,lagt_tlg2021.tlg002,Epiphanius,Panarion (Adversus haereses),377.0,377.0,['Scriptores Ecclesiastici'],[],christian,,,,,,,,,,377.0,296211,"ὅθεν δή γενναίως ὥσπερ στρατιώτας ἀρίστους ἀντιπαρατάσσεσθαι δεῖ, οἵ ἐπειδάν ὑπό τῶν ἐχθρῶν αἴσθωνται πολιορκούμενοι, τοξείας οὐδέν φροντίσαντες καί τῶν ἄλλων αὐτῶν ἀκοντισμάτων, ὑπέρ τοῦ σῶσαι τήν προθύμως ἐπ᾿ αὐτούς ἵενται, μηδέν ἐλλείποντες σπουδῆς, ἔστ᾿ ἄν τό στιφος αὐτῶν εἰς φυγήν ἀνατρέψαντες ἀπώσωνται τῶν ὅρων ἔξω."
27,lagt_tlg0645.tlg001_883,lagt,lagt_tlg0645.tlg001,Justin Martyr,Apologia,150.0,160.0,['Apologetici'],[],christian,,,,,,,,,,158.0,16496,καί κατακυρίευε ἐν μέσῳ τῶν ἐχθρῶν σου.
28,lagt_tlg4102.tlg005_1845,lagt,lagt_tlg4102.tlg005,Catenae (Novum Testamentum),Catena In Joannem,501.0,600.0,[],[],christian,,,,,,,,,,594.0,90947,"ὅτι τινές εἰσιν ἀλλογενεῖς, καί οἱ συγγενεῖς αὐτοῦ τό κατά σάρκα Ἰουδαῖοι ἐδίωκον αὐτόν, ὅτι “ ἐχθροί τοῦ ἀνθρώπου οἱ οἰκιακοί αὐτοῦ."
29,lagt_tlg0317.tlg001_2231,lagt,lagt_tlg0317.tlg001,Acta Joannis,Acta Joannis,101.0,200.0,[],[],christian,,,,,,,,,,180.0,23640,ὑμέρας ‖ μέρος ‖ ἤ ‖ ἐν παῤ αἰτῶ Δ ἀλλά πυρί αἰωνίω παραδοθήσεσθε ἐν δέ φυλάξησθε καί πῦρ αἰώ- νιον καί τόν ἐχθρόν σατάν καί τά αὐτοῦ ἔνεδρα ἐκφεύξησθε καί ζωήν αἰώνιον ἐν οὐρανοῖς λήψεσθε ‖ ταῦτα εἰπών ‖ πρ.
30,lagt_tlg4090.tlg001_62019,lagt,lagt_tlg4090.tlg001,Cyril of Alexandria,In XII Prophetas,412.0,444.0,['Theologici'],[],christian,,,,,,,,,,425.0,482822,ἐχθρῶν σου . .
31,lagt_tlg2038.tlg001_586,lagt,lagt_tlg2038.tlg001,Acta Thomae,Πράξεις τοῦ ἁγίου ἀποστόλου Θωμᾶ,200.0,240.0,[],[],christian,,,,,,,,,,218.0,32600,"Τοῦτο τό πρᾶγμα οὐκ ἀργῶς ἐγένετο, ἀλλ᾽ ὁ ἐχθρός ἐνήργησεν καί κατηργάσατο τοῦτο ἵνα ἐν αὐτῷ προσβάλῃ·"
32,lagt_tlg4090.tlg001_61979,lagt,lagt_tlg4090.tlg001,Cyril of Alexandria,In XII Prophetas,412.0,444.0,['Theologici'],[],christian,,,,,,,,,,425.0,482822,καί κατακυριεύσεις ἐν μέσῳ τῶν ἐχθρῶν σου·
33,lagt_tlg2018.tlg023_1166,lagt,lagt_tlg2018.tlg023,Eusebius,Generalis elementaria introductio (= Eclogae propheticae),325.0,339.0,['Scriptores Ecclesiastici' 'Theologici'],[],christian,,,,,,,,,,329.0,60682,ταῖς βολίσιν αὐτοῦ κατατοξεύει ἐχθρόν.
34,lagt_tlg2042.tlg058_7285,lagt,lagt_tlg2042.tlg058,Origen,Selecta in Psalmos [Dub.],208.0,220.0,['Theologici'],[],christian,,,,,,,,,,210.0,129819,"ἔχομεν τάς χεῖρας ἐπηρμένας πρός τόν Οεόν, καί νικῶμεν τόν ἐχθρόν·"
35,lagt_tlg2042.tlg001_3434,lagt,lagt_tlg2042.tlg001,Origenes,Contra Celsum,220.0,254.0,['Theologici'],[],christian,,,,,,,,,,241.0,192070,ὁ γὰρ ἀπολογησάμενός φησιν οὐχ ὑπὲρ τῶν ἤδη φίλων νοσούντων ἢ μεμηνότων τὴν τοιάνδε οἰκονομίαν γίνεσθαι ἀλλ’ ὑπὲρ τῶν διὰ νόσον τῆς ψυχῆς καὶ ἔκστασιν τοῦ κατὰ φύσιν λογισμοῦ ἔτι ἐχθρῶν.
36,lagt_tlg2042.tlg079_1378,lagt,lagt_tlg2042.tlg079,Origen,"Commentarii in evangelium Joannis (lib. 19, 20, 28, 32)",208.0,220.0,['Theologici'],[],christian,,,,,,,,,,219.0,71380,"τίς γάρ ἐστιν ὁ διὰ τῆς ἁμαρτίας θάνατος εἰς τὸν κόσμον εἰσελθών, ἢ ὁ ἔσχατος ἐχθρὸς Χριστοῦ καταργηθησόμενος;"
37,lagt_tlg2018.tlg005_6192,lagt,lagt_tlg2018.tlg005,Eusebius,Demonstratio Evangelica,312.0,322.0,['Scriptores Ecclesiastici' 'Theologici'],[],christian,,,,,,,,,,313.0,182616,τό “κατακυρίευε ἐν μέσῳ τῶν ἐχθρῶν σου.
38,lagt_tlg4102.tlgX02_6174,lagt,lagt_tlg4102.tlgX02,Catenae (Novum Testamentum),Commentarius In Apocalypsin,501.0,600.0,[],[],christian,,,,,,,,,,565.0,107263,μισεῖν δέ τόν ἐχθρόν.
39,lagt_tlg4102.tlg038_4820,lagt,lagt_tlg4102.tlg038,Catenae (Novum Testamentum),Catena In Epistulam Ad Hebraeos,501.0,600.0,[],[],christian,,,,,,,,,,522.0,186976,"ὅτι γάρ οἱ ἄγγελοι ἐχθροί ἦσαν,"
40,lagt_tlg0555.tlg002_708,lagt,lagt_tlg0555.tlg002,Clement of Alexandria,Paedagogus,198.0,198.0,['Theologici'],[],christian,,,,,,,,,,198.0,68505,""" παροξυνῶ τὴν μάχαιράν μου, καὶ ἀνθέξεται κρίματος ἡ χείρ μου καὶ αὐτὸς ἀνταποδώσω δίκην τοῖς ἐχθροῖς καὶ τοῖς μισοῦσιν ἀνταποδώσω·"
41,lagt_tlg2035.tlg131_764,lagt,lagt_tlg2035.tlg131,Athanasius,Oratio II contra Arianos,330.0,373.0,['Theologici'],[],christian,,,,,,,,,,358.0,37973,"ἕως ἄν . .( .) . θῶ τούς ἐχθρούς σου ὑποπόδιον τῶν ποδῶν σου. Οὐ γάρ ἔπρεπε δι ἑτέρου τήν λύτρωσιν γενέσθαι, ἀλλά διά τοῦ φύσει Κυρίου, ἵνα μή διά Υἱοῦ μέν κτιζώμεθα, ἄλλον δέ Κύριον ὀνομάζωμεν, καί πέσωμεν εἰς τήν Ἀρειανήν καί τήν Ἑλληνικήν . . . ἀφροσύνην, κτίσει δουλεύοντες παρά τόν κτίσαντα τά πάντα Θεόν. . Αὕτη τοῦ ῥητοῦ κατά γε τήν ἐμήν οὐθένειαν ἡ διάνοια. Καί γάρ ἀληθῆ καί χρηστήν ἔχει τήν αἰτίαν τά πρός τούς Ἰουδαίους τοιαῦτα ῥήματα τοῦ Πέτρου. Ἰουδαῖοι γάρ πλανηθέντες ἀπό τῆς ἀληθείας, προσδοκῶσι μέν ἐρχόμενον τόν Χριστόν· οὐχ ἡγοῦνται δέ αὐτόν καί πάθος ἀναδέχεσθαι, λέγοντες ὅπερ οὐ νοοῦσιν· ‘ἡμείς οἴδαμεν ὅτι, ὅταν ἔλθῃ ὁ Χριστός, μένει εἰς . . τόν αἰῶνα· καί πῶς σύ λέγεις, ὅτι δεῖ αὐτόν ὑψωθῆναι; ἔπειτα οὐ Λόγον γινόμενον ἐν σαρκί, ἀλλά ψιλόν αὐτόν ἄνθρωπον γίνεσθαι, ὡς πάντες γεγόνασιν οἱ βασιλεῖς ὑπολαμβάνουσιν. Ὁ μέν οὖν Κύριος, τούς περί Κλεόπαν ἐντρέπων, ἐδίδασκεν, ὅτι τόν Χριστόν δεῖ πρῶτον παθεῖν· καί τούς ἄλλους δέ Ἰουδαίους, . . ὅτι Θεόν ἐπιδημῆσαι, λέγων· ‘εἴ ἐκείνους εἶπε θεούς, πρός . . ."
42,lagt_tlg2042.tlg005_900,lagt,lagt_tlg2042.tlg005,Origenes,Commentarii in Evangelium Joannis,208.0,220.0,['Theologici'],[],christian,,,,,,,,,,214.0,178984,"ἔργον δὲ τοῦ λόγου ὥσπερ κρίνειν ἐν δικαιοσύνῃ οὕτω καὶ πολεμεῖν ἐν δικαιοσύνῃ, ἵν’ ἐκ τοῦ τοὺς ἐχθροὺς λόγῳ καὶ δικαιοσύνῃ οὕτω πολεμεῖν ἀναιρουμένων τῶν ἀλόγων καὶ τῆς ἀδικίας λέγεσθαι ἐνοικήσῃ καὶ δικαιώσῃ, ἐκβάλλων τὰ ἐναντία τῆς ψυχῆς τοῦ, ἵν’ οὕτως εἴπω, ἐπὶ σωτηρίᾳ αἰχμαλωτισθέντος ὑπὸ Χριστοῦ. E"
43,lagt_tlg2018.tlg002_7067,lagt,lagt_tlg2018.tlg002,Eusebius of Caesarea,Historia ecclesiastica,280.0,313.0,['Scriptores Ecclesiastici' 'Theologici'],[],christian,,,,,,,,,,293.0,116027,τούς δέ ἀσχημόνως ἁλισκομένους καί πρός τῶν ἐχθρῶν καταπαιζομένους
44,lagt_tlg0031.tlg003_1304,lagt,lagt_tlg0031.tlg003,Luke (the evangelist),New Testament - Luke,80.0,90.0,[],[],christian,,,,,,,,,,86.0,22620,"ὅτι ἥξουσιν ἡμέραι ἐπὶ σέ, καὶ παρεμβαλοῦσιν οἱ ἐχθροί σου χάρακά σοι καὶ περικυκλώσουσίν σε καὶ συνέξουσίν σε πάντοθεν, καὶ ἐδαφιοῦσίν σε καὶ τὰ τέκνα σου ἐν σοί, καὶ οὐκ ἀφήσουσιν λίθον ἐπὶ λίθον ἐν σοί, ἀνθ’ ὧν οὐκ ἔγνως τὸν καιρὸν τῆς ἐπισκοπῆς σου."
45,lagt_tlg2021.tlg001_1901,lagt,lagt_tlg2021.tlg001,Epiphanius,Ancoratus,325.0,325.0,['Scriptores Ecclesiastici'],[],christian,,,,,,,,,,325.0,60200,ὁ ἐχθρός αὐτοῦ — ἰσχύϊ πολλῇ] . πολλάς .
46,lagt_tlg4102.tlg011_14460,lagt,lagt_tlg4102.tlg011,Catenae (Novum Testamentum),Catena In Epistulam Ad Romanos (typus Monacensis),501.0,600.0,[],[],christian,,,,,,,,,,551.0,141908,"” ἀντί τοῦ, ἀναλῶσαι καί ἐξαφανίσαι τά σωματικά καί ὑλικά. πολλῶν δέ ἀνθράκων χρεία, ἵνα τοῦ ἐχθροῦ ἡ κεφαλή ἐξαναλωθῇ. οἵτινές εἰσιν οἱ ἀληθεῖς λόγοι, οἱ ἐξαναφανίζοντες τό ψεῦδος. ὅταν οὖν ἀναλωθῇ ἡ τοῦ ἐχθροῦ κεφαλή, ὑπό τῶν σωρευομένων ἀνθράκων, ἐκ τοῦ τρέφεσθαι πεινῶντα τόν ἐχθρόν, γίνεται ὁ ποτέ ἐχθρός,"
47,lagt_tlg4102.tlg012_14040,lagt,lagt_tlg4102.tlg012,Catenae (Novum Testamentum),Catena In Epistulam I Ad Corinthios,501.0,600.0,[],[],christian,,,,,,,,,,527.0,128476,ἄχρις οὗ ἅν θῆ πάντας τούς ἐχθρούς ὑπό τούς πόδας αὐτοῦ.
48,lagt_tlg2016.tlg001_277,lagt,lagt_tlg2016.tlg001,Martyrium Perpetuae et Felcitatis,Μαρτύριον Περπετούας,203.0,203.0,[],[],christian,,,,,,,,,,203.0,4616,αὔριον ἐχθροί; E
49,lagt_tlg2058.tlg001_298,lagt,lagt_tlg2058.tlg001,Philostorgius,Historia ecclesiastica (fragmenta ap. Photium),425.0,425.0,['Scriptores Ecclesiastici'],[],christian,,,,,,,,,,425.0,41204,"φαύσταν τε Τ ἀπεπλάνησεν Τ § , ἐξεμυκτήρισας — αἵματος] ἐκάκισασ ἐχθρόν καί ἀπόπτυστον τοῖσ σοῖσ ἀποκαλέσασ θεοῖσ· προσέτι δέ καί μανιώδη καί φωνικόν ἀνάπλεον . φωραθεῖσάν τινι τῶν Κουρσώρων μοιχωμένην, τῇ τοῦ λουτροῦ ἀλέᾳ ἐναποπνιγῆναι προστάξαι. κοί τῷ παιδίῳ τοῦ ξίφους διδοῦντα . . γένηται, πρός ἐπιβουλήν ἐχώρει τοῦ ποθουμένου, τρέψασα τό φίλτρον εἰς μῖσος. τῷ γάρ ἀνεκπράκτῳ τῆς ἐπιθυμίας ὀργιζομένη, θεραπείαν ἐποιεῖτο τοῦ πάθους τήν τοῦ μή] ποθουμένου σφαφήν, φόνῳ προθυμουμένη κορέσαι τόν πόθον. καί πείθει δέ τόν ἑαυτῆς ἄνδρα κτεῖναι τόν ἑαυτοῦ παῖδα, τήν ἑαυτῆς νόσον ἐκείνου ποιησαμένη, καί καντοδαπούς αὐτοῦ καί ψευδεῖς καταφορήσασα λόγους. ὁ δ’ ἐφ οἶς ἤκουσεν τῆς ἐαυτοῦ γυναικός φθασθείς τόν λογισμόν τῇ ὀργῇ καί μηδέν εἰς ἑαυτοῦ ἀναβαλέσθαι τοῦ πράγματος ἐθελήσας, Θησεύς γίνεται τῷ παιδί,"
50,lagt_tlg0555.tlg005_202,lagt,lagt_tlg0555.tlg005,Clement of Alexandria,Eclogae propheticae,180.0,215.0,['Theologici'],[],christian,,,,,,,,,,211.0,6200,"τοῦ γνωστικοῦ μόνου, καθάπερ λέγουσι τὴν Κρήτην ἄγονον εἶναι θηρίων ὀλεθρίων, ὁ βίος καθαρὸς ἀπὸ παντὸς πονηροῦ ἔργου τε καὶ νοήματος καὶ λόγου, οὐ -δὲ ἐχθρὸν ἔχοντος τὸ παράπαν, ἀλλὰ καὶ φθόνου καὶ μίσους καὶ βλασφημίας πάσης καὶ διαβολῆς ἐκτὸς ὄντος. E"
51,lagt_tlg4102.tlg001_1955,lagt,lagt_tlg4102.tlg001,Catenae (Novum Testamentum),Catena In Matthaeum,501.0,600.0,[],[],christian,,,,,,,,,,581.0,94631,"τούς ἐχθρούς, ἐάν μή κρίνωμεν τῷ προειρημένῳ σκοπῷ, οὐδέποτε καταλύσαι τήν ἐχθράν δυνησόμεθα, ἀλλά πάντα ἄνω καί κάτω γενήσεται·"
52,lagt_tlg2042.tlg058_5028,lagt,lagt_tlg2042.tlg058,Origen,Selecta in Psalmos [Dub.],208.0,220.0,['Theologici'],[],christian,,,,,,,,,,210.0,129819,Μήποτε δέ καί ὁπλιζόμεθα κατά τῶν ἐχθρῶν ἐν αὐτῷ τῷ αἰνεῖν καί ἐπικαλεῖσθαι Κύριον.
53,lagt_tlg2042.tlg062_363,lagt,lagt_tlg2042.tlg062,Origenes,Selecta in Ezechielem (fragmenta e catenis),101.0,300.0,,['Exeget.'],christian,,,,,,,,,,258.0,13749,"ζητητέον οὖν τὴν σάλπιγγα τοῦ Θεοῦ καὶ τὴν μεγάλην παροξυντικὴν τοῦ Θεοῦ φωνὴν τῶν στρατιωτῶν τοῦ Θεοῦ ἐπὶ τὸν κατὰ τῶν πολεμίων ἀγῶνα, ὁποίᾳ εἰκὸς ἦν χρῆσθαι τοὺς ἀποστόλους τοσοῦτον τὰ φρονήματα διεγείροντας διὰ τῆς φωνῆς τῆς σάλπιγγος ἐπὶ τὸν κατὰ τῶν ἐχθρῶν ἀγῶνα."
54,lagt_tlg2042.tlg058_11801,lagt,lagt_tlg2042.tlg058,Origen,Selecta in Psalmos [Dub.],208.0,220.0,['Theologici'],[],christian,,,,,,,,,,210.0,129819,"Ἐχθρός φόβος ( ) ἐστίν ἤτοι ὁ παρά τοῦ ἐχθροῦ ἡμῖν ἐγγινόμενος, ἤ ὁ ἐναντίος τῷ τοῦ Χριστοῦ θάρσει."
